# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 83 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+73)
# swp_git_diff_sha256: aea29eae4ecf8823b49ef99d53c5b3a999200a6732f6369114a0bc647cc607e4
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:51:10+00:00
# keras_backend: torch
# command: invivo_recipe_contrast.py
# config_sha256: 1952ebd3ff4ddf5c18c73ae4bf8ccbfc8d188ee7f241834779391fcc0bf5e10f
dataset,push,recipe,oc_push,oc_nopush,sym_push,sym_nopush,amp_push,amp_nopush,d_oc,log2_amp
iv0804_30V,m1,caenen_cont,0.865689925154277,0.8108438788603206,-0.043042151808786865,-0.056208799718898576,0.0018075410931758975,0.0032259662625574465,0.054846046293956396,-0.8357029045325498
iv0804_30V,m1,caenen_cont_gian,0.8751854607152336,0.8131287848029932,-0.07705967151805564,-0.05568774365199914,0.0020050838758392787,0.0032750307611502053,0.0620566759122404,-0.7078458692489051
iv0804_30V,m2,current,0.9712739265996658,0.9617007706687574,0.6203853949419217,0.40015657223883605,8.842806489000275e-06,1.8061876910124354e-05,0.009573155930908461,-1.030371595797981
iv0804_30V,m2,f2f_current,0.8148028943490229,0.9009868890375533,0.3898958012813382,-0.2005661366554889,0.004030159336717248,0.005709496046300769,-0.08618399468853044,-0.5025265320659086
iv0804_30V,m2,caenen,0.7727966330591016,0.5353428716382781,0.5096294906492264,0.23196686019595758,0.03201956528988918,0.03798696374492495,0.23745376142082353,-0.24655068223080048
iv0804_30V,m2,caenen_dir,0.7479350045946028,0.519875145339114,0.1347322654237831,0.043223595980010174,0.016020057881385892,0.01516103897695434,0.22805985925548877,0.07951073636869264
iv0804_30V,m2,caenen_cont,0.6200653641711283,0.6619804508430039,0.4471121461103636,0.5965381890652753,0.01890802022238897,0.025131107013024425,-0.0419150866718756,-0.41047590983989235
iv0804_30V,m2,caenen_cont_gian,0.6224739571726666,0.6617548452499556,0.4408589394723931,0.5981679416345803,0.018656858569179525,0.02502457940418052,-0.03928088807728902,-0.4236397349444596
iv0804_30V,m3,current,0.7968085743334543,0.9659122824781086,-0.25228383893401196,0.568021333133356,1.1392029586581835e-06,5.475648921601543e-06,-0.16910370814465425,-2.2650051509915907
iv0804_30V,m3,f2f_current,0.7209137066414909,0.5860091747789155,0.3098806757645169,0.2777368347176042,0.001939686698418698,0.0015613048225032527,0.13490453186257545,0.3130714141588413
