# swp_version: 0.1.0
# swp_git_commit: 66505d43cd8eaef3229f4c22e7eb57e8645027fa
# swp_git_branch: main
# swp_git_dirty: 2 modified: scripts/restore_redetected_windows.py, study/logs/restore_redetected_windows.log
# swp_git_diff_sha256: aaec27e3101d8976d7cc0f72bdbe5461ee5a8a3bc208a95fc43773dd5e19584e
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T18:25:28+00:00
# keras_backend: 
# command: passive_v2_rerun_summary.py
# config_sha256: f00e3b22ec00653b7ab286a18b6643b3c807c822822e7602ee1da8510ea41aba
subject,folder,window,label,v1_A_disp,v1_A_disp_sem,v1_B_disp_median,v1_B_disp_median_sem,v1_C_vel,v1_C_vel_sem,v2_default,v2_default_sem,v2_unsmoothed,v2_unsmoothed_sem,v2_median,v2_median_sem,hand,n_hand
C000000016,VIS-015_SW_data_10-July-2026_09-24-32,1,AVC,4.759358288770054,0.96584004638401,2.4217687074829937,0.9116117398052518,8.018018018018019,0.9550020731177666,7.385892116182573,0.962140034190734,7.385892116182573,0.9152624840572325,7.385892116182573,0.9462683579714981,,
C000000016,VIS-015_SW_data_10-July-2026_09-24-32,2,AK,1.0,0.5896842111576862,1.0,0.6467217178894911,3.6475409836065578,0.6469937450971618,3.955555555555556,0.5618890260550704,3.955555555555556,0.4334796281966657,3.955555555555556,0.4997069750533757,,
C000000016,VIS-015_SW_data_10-July-2026_09-24-32,3,MVC,-4.129930394431555,0.5404628323005091,-1.0,0.6300680422644337,-2.1445783132530125,0.671941634428669,-2.1445783132530125,0.6032326890284502,-2.1445783132530125,0.5255571874458755,-1.8855932203389834,0.5772082836522315,,
C000000018,VIS-012_SW_data_07-July-2026_09-21-31,0,MVC,20.0,0.4960100208053115,-1.0,0.29849016236004944,16.48148148148148,0.5981050181530649,20.0,0.4863488886684279,20.0,0.27974489494495464,20.0,0.4015032564106402,,
C000000018,VIS-012_SW_data_07-July-2026_09-21-31,1,AVC,-1.0,0.42469073306505745,-1.0,0.5719319736369719,2.7010622154779975,0.40260596116868386,2.360742705570292,0.2387765823570898,1.0,0.10529544057786086,2.360742705570292,0.17443887378967074,,
C000000018,VIS-012_SW_data_07-July-2026_09-21-31,2,AK,-1.4710743801652892,0.641715955404654,-1.0684273709483794,0.7894125837013154,1.543798785776236,0.8128981530132655,1.4483319772172498,0.696318077133992,1.4483319772172498,0.457495072237786,1.4483319772172498,0.6103243148984882,,
C000000018,VIS-012_SW_data_07-July-2026_09-21-31,3,AVC,2.1948212083847105,0.3062121819181548,6.3799283154121875,0.3897597024131093,3.384030418250951,0.5604482099604942,2.486033519553073,0.3746401928866509,2.1445783132530125,0.17859000702870279,2.486033519553073,0.2820817819274492,,
C000000019,VIS-027_SW_data_21-July-2026_11-19-20,0,other,6.846153846153847,0.6946145024049311,16.48148148148148,0.49958033464119633,4.759358288770054,0.6681779011003662,2.1445783132530125,0.4396036786958523,1.7450980392156865,0.2270179046732608,1.5964125560538118,0.33845305413785903,,
C000000019,VIS-027_SW_data_21-July-2026_11-19-20,1,AVC,2.9568106312292364,0.5974498795170538,4.129930394431555,0.41306037675820517,16.48148148148148,0.6569357148998706,9.673913043478262,0.40803360112046155,6.3799283154121875,0.20000663133923727,6.3799283154121875,0.310210510623267,,
C000000019,VIS-027_SW_data_21-July-2026_11-19-20,2,other,-1.0,0.4943054497031802,-20.0,0.6362826339137266,1.4483319772172498,0.4259447086326766,1.033081834010447,0.20343462857159123,1.0,0.07721505220322968,1.0,0.13798950435598045,,
