# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T15:17:07+00:00
# keras_backend: torch
# command: passive_atlas_all15.py --lines b3to4 --sets v2
# config_sha256: 81dc8c278c2eb5c48e70b417179ec66d0d8f9c667b1e181c928f0ecda77f7ffc
line,set,family,recipe,clear,plausible,guess_none,separation,n
b3,v1,directional,"velocity, none",2.173354866220839,2.010082773053375,1.643615970831889,0.5297388953889499,15
b3,v1,directional,"velocity, keep toward low r",2.1539733763226145,1.8866814411459591,1.5875810512625834,0.5663923250600311,15
b3,v1,directional,"velocity, keep toward high r",2.1030028176990956,2.18757131784524,1.5486461612953781,0.5543566564037175,15
b3,v1,spatial,none,1.9819109064814069,1.7183602258346113,1.4494757067948414,0.5324351996865655,15
b3,v1,spatial,Gaussian 0.6 x 1.2 mm (view A),2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,spatial,Gaussian 1.0 x 2.0 mm,2.1364086930187303,1.8947277065000565,1.671719023308658,0.4646896697100722,15
b3,v1,spatial,Gaussian 2.0 x 4.0 mm,2.2286320993339714,1.9092539198828204,1.836931840951606,0.39170025838236544,15
b3,v1,spatial,median 1.0 x 2.0 mm,2.049341208317124,1.803657683276527,1.5184141745216397,0.5309270337954843,15
b3,v1,temporal,none,2.092951103121389,1.8788101387215124,1.6032448135549444,0.4897062895664446,15
b3,v1,temporal,moving mean 3 (view A),2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,temporal,moving mean 5,2.0873381010096828,1.8763455552683366,1.5960896578146693,0.4912484431950135,15
