# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 74 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+64)
# swp_git_diff_sha256: 2f9cb856595bcc6bcd6f42b62dd2ad25a6f44ed9daddf4184fd1289bb04aeb10
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:21:03+00:00
# keras_backend: torch
# command: push_gap_check.py
# config_sha256: a2cdc255d759253352c4c4ba8cdd70f54ca41625dc17f11aac272b9a0851d3f2
folder,meas,n_px,dt_measured_us,dt_old_us,dt_new_us,calib_measured_us,calib_true_us,sdv,svv,sdv_cal,svv_cal,pri_us,fe_dv_1,fe_vv_1,fe_dv_2,fe_vv_2,fe_dv_3,fe_vv_3,fe_dv_4,fe_vv_4,fe_dv_5,fe_vv_5,fe_dv_6,fe_vv_6,fe_dv_7,fe_vv_7,fe_dv_8,fe_vv_8
Luuk40V_SW_data_04-August-2026_13-36-07,1,255,1353.9223609192015,540.0,1510.0,2011.7028712775912,1620.0,0.0002280128450279032,0.16840909908091134,0.0003077398513587267,0.15297480346254488,270.0,3.344993209557812e-05,0.06782063914353174,-1.601855881198436e-05,0.06782063914353174,1.4202705660224238e-05,0.06782063914353174,1.5175975489491148e-05,0.06782063914353174,-3.9120230938958195e-05,0.06782063914353174,2.3725477471477707e-05,0.06782063914353174,-3.6575078615375794e-05,0.06782063914353174,4.448803512896757e-06,0.06782063914353174
Luuk40V_SW_data_04-August-2026_13-36-07,2,1443,2949.6919265405922,540.0,1510.0,1536.5268513583223,1620.0,0.0014446056187600153,0.48974796512198926,0.0007982984927878797,0.5195473753564196,270.0,0.0002142289091698699,0.0700688774279567,0.00022503453266562107,0.0700688774279567,0.00020892701841932168,0.0700688774279567,0.00020976927242158556,0.0700688774279567,0.00014316096561455983,0.0700688774279567,0.0001545670514175474,0.0700688774279567,7.61713788670398e-05,0.0700688774279567,9.53027234622757e-05,0.0700688774279567
Luuk40V_SW_data_04-August-2026_13-36-07,3,510,110.58810312130316,540.0,1510.0,1572.89281240525,1620.0,4.9152855309650165e-05,0.44446783987003385,0.0006924317731552511,0.44022820098999127,270.0,-2.04943429898076e-05,0.08424309983584388,-2.5767859285347167e-05,0.08424309983584388,-3.8419062356961775e-06,0.08424309983584388,-6.388729931093095e-06,0.08424309983584388,3.0529017410907506e-06,0.08424309983584388,1.5980412968854777e-06,0.08424309983584388,4.2582360560189154e-05,0.08424309983584388,2.0195827347237136e-05,0.08424309983584388
Luuk40V_SW_data_04-August-2026_13-36-07,4,727,3517.406947844064,540.0,1510.0,1619.251787491487,1620.0,4.511471704048447e-05,0.012826129506606219,2.1675663695204675e-05,0.013386221872747898,270.0,2.279790255522863e-06,0.0007964759501762308,2.260990185760472e-06,0.0007964759501762308,2.4943004729913365e-06,0.0007964759501762308,2.492116442158447e-06,0.0007964759501762308,2.699985527054852e-06,0.0007964759501762308,2.7372909774541975e-06,0.0007964759501762308,2.9543265501562706e-06,0.0007964759501762308,2.9441934569029355e-06,0.0007964759501762308
Luuk40V_SW_data_04-August-2026_13-36-07,5,1510,4942.571063656927,540.0,1510.0,1612.7489990699864,1620.0,0.00019952365998200815,0.04036839479135053,6.391916476947836e-05,0.039633671951641705,270.0,2.5797262108222776e-06,0.0007670054139799505,2.678841951728576e-06,0.0007670054139799505,2.7629388359966166e-06,0.0007670054139799505,2.90244553747084e-06,0.0007670054139799505,3.0498473178689665e-06,0.0007670054139799505,3.1524870904513363e-06,0.0007670054139799505,3.270437478185083e-06,0.0007670054139799505,3.3540795777340325e-06,0.0007670054139799505
Luuk40V_SW_data_04-August-2026_13-36-07,6,1576,4383.599522098773,540.0,1510.0,1609.1522274686456,1620.0,0.00043985361080349836,0.10034073792236065,0.0001646828334403062,0.1023413637498849,270.0,3.0234635778768904e-05,0.007711400892222459,3.121984195448359e-05,0.007711400892222459,3.340933164561173e-05,0.007711400892222459,3.448612304862504e-05,0.007711400892222459,3.66732490794671e-05,0.007711400892222459,3.758498044842752e-05,0.007711400892222459,3.975734781049487e-05,0.007711400892222459,4.06157491489335e-05,0.007711400892222459
Luuk40V_SW_data_04-August-2026_13-36-07,7,732,4798.221740759039,540.0,1510.0,1596.5071566776778,1620.0,9.929380815258152e-05,0.020693876506189576,2.990583856004016e-05,0.018732041654153334,270.0,3.219496412557682e-05,0.012036776396691321,3.504546547675993e-05,0.012036776396691321,3.4770061317019774e-05,0.012036776396691321,3.7663559938223455e-05,0.012036776396691321,3.7767071842168105e-05,0.012036776396691321,4.051764907641702e-05,0.012036776396691321,3.749064569456779e-05,0.012036776396691321,4.1383330301650275e-05,0.012036776396691321
Luuk40V_SW_data_04-August-2026_13-36-07,8,1459,-379.24490192859184,540.0,1510.0,1539.3755155123597,1620.0,-0.0003487239594327203,0.9195218120516269,0.0014306033607274175,0.929340077395775,270.0,-0.00036288463433952373,0.13137314751465634,-0.00039824788284256404,0.13137314751465634,-0.0002545707422834341,0.13137314751465634,-0.00028705408833468616,0.13137314751465634,-0.00014067355338361932,0.13137314751465634,-0.00017309790940840154,0.13137314751465634,-2.5760897602438683e-05,0.13137314751465634,-5.3990797750177884e-05,0.13137314751465634
Luuk40V_SW_data_04-August-2026_13-36-07,9,1179,776.0690055333904,540.0,1510.0,1558.0170296264462,1620.0,0.0008425160107279012,1.0856199702871034,0.0016649618749753595,1.068641640826323,270.0,8.327361942034287e-05,0.11249089494959459,7.179880435051383e-05,0.11249089494959459,9.925596360929994e-05,0.11249089494959459,9.472651571609114e-05,0.11249089494959459,-5.481365210324701e-05,0.11249089494959459,-3.486739477034322e-05,0.11249089494959459,-0.000128017379608624,0.11249089494959459,-6.620122287762961e-05,0.11249089494959459
Luuk40V_SW_data_04-August-2026_13-36-07,10,421,483.43614966473484,540.0,1510.0,2095.632445312487,1620.0,0.00013108506678482363,0.2711528024450214,0.0005316252935224609,0.25368250749867943,270.0,1.664367891749404e-05,0.11784234979253357,9.123168364181482e-06,0.11784234979253357,-4.2898880775200686e-05,0.11784234979253357,3.997544526396646e-05,0.11784234979253357,-4.992280381021664e-05,0.11784234979253357,4.927265572772161e-05,0.11784234979253357,-3.0511519956883416e-05,0.11784234979253357,3.952992152136712e-05,0.11784234979253357
